epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7509,1.07271,2.80599,1.35749,0.00333,1,0.41024,0.33087,0.47815,3.16475,0.99673,8e-05,8e-05,8e-05
2,58.5145,0.64563,2.21884,1.0848,0.00333,1,0.94455,0.82445,0.29468,2.97732,0.78912,0.000176436,0.000176436,0.000176436
3,87.369,0.51161,1.35223,0.97403,1,0.41297,0.97212,0.86212,0.3756,2.59425,0.81753,0.000268912,0.000268912,0.000268912
4,114.697,0.47867,1.10047,0.97445,1,0.78068,0.98125,0.87078,0.43353,2.86791,0.88586,0.000357428,0.000357428,0.000357428
5,142.55,0.47392,0.94732,0.93252,1,0.65259,0.995,0.91992,0.42485,2.71862,0.82805,0.000441984,0.000441984,0.000441984
6,170.392,0.4527,0.9486,0.9317,1,0.99536,0.995,0.93325,0.39048,2.34001,0.79324,0.00052258,0.00052258,0.00052258
7,197.975,0.47248,0.92369,0.93374,0.99951,1,0.995,0.92298,0.45956,1.84752,0.82156,0.000599216,0.000599216,0.000599216
8,225.704,0.48959,0.94674,0.95912,0.98915,1,0.995,0.87478,0.52109,2.2322,0.94422,0.000671892,0.000671892,0.000671892
9,253.41,0.46182,0.89643,0.9312,0.8995,0.85714,0.94774,0.83934,0.45903,2.23632,0.83318,0.000740608,0.000740608,0.000740608
10,280.509,0.45213,0.86554,0.94825,0.92113,0.83548,0.85832,0.78659,0.4771,2.18852,0.91017,0.000805364,0.000805364,0.000805364
11,308.381,0.45784,0.84609,0.93253,0.98814,0.85714,0.97331,0.84269,0.47395,1.91963,0.96253,0.00086616,0.00086616,0.00086616
12,335.823,0.43431,0.82337,0.92965,0.8124,1,0.95716,0.84118,0.52866,1.85398,0.92362,0.000922996,0.000922996,0.000922996
13,365.511,0.52739,0.89112,0.97835,0.98618,1,0.995,0.89108,0.48739,1.71714,0.90946,0.000975872,0.000975872,0.000975872
14,393.488,0.48047,0.8086,0.94018,0.57143,0.85714,0.78338,0.66879,0.50386,2.14038,0.91777,0.00102479,0.00102479,0.00102479
15,421.161,0.48085,0.80699,0.92657,0.99457,1,0.995,0.91539,0.40518,1.36694,0.83744,0.00106974,0.00106974,0.00106974
16,448.235,0.48856,0.72135,0.92922,0.98062,1,0.995,0.90299,0.44455,1.4151,0.88387,0.00111074,0.00111074,0.00111074
17,475.623,0.45965,0.74498,0.9373,0.98925,1,0.995,0.84846,0.53099,1.55427,0.96669,0.00114778,0.00114778,0.00114778
18,505.032,0.44168,0.69418,0.91488,0.99188,1,0.995,0.88415,0.44688,1.41256,0.90413,0.00118085,0.00118085,0.00118085
19,532.464,0.44096,0.6299,0.92707,0.99296,1,0.995,0.90548,0.41981,1.29404,0.86267,0.00120997,0.00120997,0.00120997
20,561.033,0.46103,0.71005,0.92691,1,0.98649,0.995,0.85041,0.43266,1.36616,0.84959,0.00123512,0.00123512,0.00123512
21,587.068,0.45547,0.67476,0.93034,0.99039,1,0.995,0.8571,0.47842,1.54644,0.87073,0.001208,0.001208,0.001208
22,613.957,0.413,0.61402,0.91483,0.96666,0.85714,0.97444,0.80872,0.51336,1.92038,0.88692,0.0011684,0.0011684,0.0011684
23,642.785,0.41539,0.64954,0.91192,0.88491,0.78571,0.93505,0.82719,0.44977,1.74917,0.84487,0.0011288,0.0011288,0.0011288
24,672.779,0.44867,0.6148,0.92506,0.9978,0.92857,0.99033,0.89893,0.45029,1.3312,0.86961,0.0010892,0.0010892,0.0010892
25,703.225,0.46222,0.60865,0.9039,0.9917,1,0.995,0.88958,0.47805,1.05061,0.86443,0.0010496,0.0010496,0.0010496
26,734.064,0.40274,0.57183,0.90759,0.99517,1,0.995,0.8728,0.46886,1.0282,0.85001,0.00101,0.00101,0.00101
27,761.819,0.40057,0.55112,0.90734,0.99488,1,0.995,0.90533,0.43248,0.93537,0.84438,0.0009704,0.0009704,0.0009704
28,790.312,0.39536,0.53575,0.91613,0.99517,1,0.995,0.96181,0.31646,0.76443,0.76247,0.0009308,0.0009308,0.0009308
29,817.216,0.3821,0.50981,0.89392,0.99393,1,0.995,0.94737,0.32318,0.76776,0.7705,0.0008912,0.0008912,0.0008912
30,844.191,0.39091,0.50755,0.9126,0.99602,1,0.995,0.9535,0.32316,0.72101,0.76168,0.0008516,0.0008516,0.0008516
31,871.974,0.38835,0.52627,0.88133,0.99584,1,0.995,0.95075,0.31775,0.69904,0.75131,0.000812,0.000812,0.000812
32,899.276,0.3603,0.51951,0.89084,0.99023,1,0.995,0.9402,0.35206,0.78805,0.7703,0.0007724,0.0007724,0.0007724
33,925.97,0.38243,0.51178,0.9009,0.99087,1,0.995,0.94422,0.34259,0.74666,0.76375,0.0007328,0.0007328,0.0007328
34,952.972,0.33735,0.51078,0.90082,0.99349,1,0.995,0.9439,0.32496,0.74219,0.75034,0.0006932,0.0006932,0.0006932
35,979.466,0.35722,0.49285,0.91136,0.9943,1,0.995,0.95226,0.31463,0.72194,0.74377,0.0006536,0.0006536,0.0006536
36,1006.77,0.35484,0.50335,0.90834,0.99568,1,0.995,0.96186,0.31395,0.68927,0.73989,0.000614,0.000614,0.000614
37,1033.88,0.35876,0.47559,0.88065,0.99603,1,0.995,0.96758,0.30926,0.67446,0.73776,0.0005744,0.0005744,0.0005744
38,1060.55,0.34598,0.46821,0.90191,0.99576,1,0.995,0.96526,0.31454,0.64905,0.74978,0.0005348,0.0005348,0.0005348
39,1087.7,0.34382,0.55082,0.88953,0.99591,1,0.995,0.96061,0.32193,0.61884,0.75552,0.0004952,0.0004952,0.0004952
